trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,0.01265869999770075,2.018470900002285,,,,,,,,,,
,,,,,,,,,,,,,,,2.0265867999987677,3.551495599996997,,,,,,,,,,
1,,18.23,0,9.45,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,3.5769952999980887,4.040015599995968,4.0601658999948995,5.067516199997044,5.084862599993357,,6.09493229999498,9.10266849999607,,
2,,53.27,0,35.16,0,n,35.16,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,9.129118500000914,9.774296999996295,9.781003399999463,10.782825699992827,10.801009399991017,,11.813880399990012,15.325958799992804,,
3,,8.27,0,1.15,1,v,8.27,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,15.350680699993973,15.872323299990967,15.883179900003597,17.020436599996174,17.111380999995163,,18.118845999997575,21.126660499998252,,
4,,45.88,0,40.41,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,21.175673399993684,,25.204392300001928,26.212688599989633,26.222445199993672,,27.238134200000786,30.745708000002196,,
5,,21.56,0,11.96,0,n,11.96,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,30.757569900000817,31.575788599991938,31.591559499996947,32.605593699991005,32.624241400000756,,33.645253499998944,36.655693699998665,,
,,,,,,,,,,,,,,,36.659364299994195,37.24633969999559,,,,,,,,,,
1,0,10.55,0,6.73,0,n,6.73,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,37.277769699998316,38.894327100002556,38.91229379999277,39.924864799992065,39.94679370000085,,40.96276609999768,43.96697639999911,,
2,0,15.27,0,10.37,0,v,10.37,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,43.98114419999183,44.53708359999291,44.546521700001904,45.55262629999197,45.565283099989756,,46.58059759999742,49.588474399992265,,
3,0,17.73,0,3.13,0,n,3.13,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,49.617273199997726,50.13908079999965,50.14880949999497,51.161386399995536,51.16813700000057,,52.183782499996596,55.186416700002155,,
4,1,0.00,0,10.25,0,v,10.25,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,55.20360589999473,55.695529399992665,55.70290879999811,56.71565399999963,56.73707259999355,,57.75318369999877,60.76110190000327,,
5,0,12.36,0,5.82,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,60.7884086999984,61.27676729999075,61.288551499994355,62.29925229999935,62.30523539999558,,63.323449000003166,66.32979849999538,,
