trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,0.027392999996664003,5.70454819999577,,,,,,,,,,
,,,,,,,,,,,,,,,5.72674119999283,6.898240299997269,,,,,,,,,,
1,,18.23,0,9.45,1,n,18.23,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,6.938935600002878,7.524800099999993,7.540079699989292,8.540140800003428,8.57088030000159,,9.590891799991368,12.600136699998984,,
2,,53.27,0,35.16,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,12.624930099991616,13.550707200003671,13.558835299991188,14.560174400001415,14.577088499994716,,15.593945200002054,19.1007152999955,,
3,,8.27,0,1.15,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,19.128180400002748,20.55392320000101,20.563724399995408,21.56888259999687,21.579250599999796,,22.597792400003527,25.59915209999599,,
4,,45.88,0,40.41,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,25.615865300002042,29.059303599991836,29.069213599999784,30.08411419999902,30.100036099989666,,31.118115899997065,34.62753339999472,,
5,,21.56,0,11.96,0,n,11.96,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,34.65237149999302,37.315863299998455,37.32022120000329,38.32314320000296,38.33733080000093,,39.354796899991925,42.356632099996204,,
,,,,,,,,,,,,,,,42.373122899996815,43.453361899999436,,,,,,,,,,
1,0,16.00,0,4.00,0,v,4.00,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,43.473346600003424,44.04374139998981,44.056509799993364,45.06427899999835,45.074133299989626,,46.09125139999378,49.09571339999093,,
2,0,10.73,0,6.63,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,49.1088785000029,49.82054179999977,49.82595099999162,50.827919299990754,50.84342330000072,,51.8602103000012,54.86053109999921,,
3,0,13.45,0,5.27,1,v,13.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,54.879054899996845,55.37747359999048,55.39570959999401,56.40206429999671,56.41301609999209,,57.43049909999536,60.44174969999585,,
4,0,10.12,0,6.94,0,n,6.94,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,60.46567759999016,61.63880970000173,61.64875359999132,62.657821100001456,62.66552369999408,,63.68374439999752,66.69721430000209,,
5,1,10.35,0,0.00,0,v,0.00,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,66.71899819999817,67.19124639999063,67.20227149999118,68.21496820000175,68.23580450000009,,69.25335949999862,72.26481409999542,,
