trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,easy0difficult1,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.025131800008239225,3.1755193999997573,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.1896086000051582,5.0487525000062305,,,,,,,,,,
1,,18.23,0,9.45,,,1,n,18.23,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,5.073862100005499,5.790884600006393,5.807693599999766,6.811431399997673,6.829060500007472,7.8375577999977395,7.843857300002128,10.845378800004255,,
2,,53.27,0,35.16,,,0,v,35.16,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,10.860195600005682,11.387352500009001,11.393404500006,12.39517540000088,12.411014800003613,13.419410800008336,13.428175100008957,16.93595169999753,,
3,,8.27,0,1.15,,,1,n,8.27,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,16.963298000002396,17.440309600002365,17.446336599998176,18.450323600001866,18.464110100001562,19.468336000005365,19.481080400000792,22.495659699998214,,
,,,,,,,,,,,,,,,,,22.51601479999954,23.290635600002133,,,,,,,,,,
1,1,0.00,0,3.13,,,0,n,3.13,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,23.316261200001463,24.219025500002317,24.23315480000747,25.24519620000501,25.255746499999077,26.26561230000516,26.28432160000375,29.2941673000023,,
2,0,17.59,0,9.20,,,0,v,9.20,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,29.319281000003684,30.107393300000695,30.11929990000499,31.127405699997325,31.13676770000893,32.14670209999895,32.15379330000724,35.665182900003856,,
3,0,17.28,0,9.36,,,0,v,9.36,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,35.68906590000552,36.38515300001018,36.38874300000316,37.390097600000445,37.40642110000772,38.40908830000262,38.42342050001025,41.93807280001056,,
4,0,21.32,0,7.34,,,0,v,7.34,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,41.958731999999145,43.99071399999957,44.009296700009145,45.01882260000275,45.02683600000455,46.03931459999876,46.043915500005824,49.055191000006744,,
5,0,20.03,0,1.99,,,0,n,1.99,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,49.078919200008386,50.53835060000711,50.545738400003756,51.55065010000544,51.563397800011444,52.56995520000055,52.58253820000391,55.5948536000069,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,201,,
,,,,,,,,,,,,,,,,,56.23221190000186,60.23736480000662,,,,,,,,,,
,,,,,,,,,,,,,,,,,60.25074050000694,61.45111429999815,,,,,,,,,,
5,,24.05,0,2.35,0.542314107564331,1,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,61.48483990000386,63.076720099998056,63.08510009999736,64.0994800000044,64.11943459999748,65.13305910000054,65.15333960000135,68.65894890000345,,
5,,11.13,0,6.08,2.49210664151053e-12,0,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,68.67186319999746,,72.69010800000979,73.7027201000019,73.7073725000082,74.71933659999922,74.72753010000451,78.22992060000252,,
5,,18.28,0,1.83,0.469358561312556,1,0,n,1.83,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,78.2431218999991,78.86709020000126,78.87629169999855,79.88024060000316,79.89391400000022,80.90276230000018,80.91094260000682,84.42623670000467,,
5,,17.38,0,0.29,0.999999939761833,0,1,v,17.38,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,84.44607980000728,84.96436009999888,84.98247250000713,85.98734990000958,85.9968266000069,87.01186890000827,87.03286580000713,90.53533949999837,,
5,,18.22,0,1.79,0.536992600453307,1,0,n,1.79,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,90.54896300000837,91.15158630000951,91.16608020001149,92.17509340000106,92.18318490000092,93.19768160000967,93.21690420000232,96.72917450001114,,
,,,,,,,,,,,,,,,96.73528310000256,100.0842100000009,,,,,,,,,,,,
