trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,0.017070000001695007,2.0740997999964748,,,,,,,,,,
,,,,,,,,,,,,,,,2.0792261000024155,3.807985399995232,,,,,,,,,,
1,,18.23,0,9.45,0,n,9.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,3.847052299999632,4.616717700002482,4.6307498999958625,5.642244499991648,5.647582299992791,,6.665397099990514,9.678959299999406,,
2,,53.27,0,35.16,0,v,35.16,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,9.699888499992085,10.438939500003471,10.450268499989761,11.453020799992373,11.467204899992794,,12.484864400001243,15.998994699999457,,
3,,8.27,0,1.15,0,n,1.15,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,16.01869230000011,16.513237099992693,16.51953949999006,17.524791399991955,17.536810999998124,,18.553493200000958,21.563322599991807,,
4,,45.88,0,40.41,0,v,40.41,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,21.588897599998745,21.68973489999189,21.70469289999164,22.710372899993672,22.722925199996098,,23.740358399998513,27.24352099999669,,
5,,21.56,0,11.96,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,27.258013200000278,28.95572230000107,28.975523599990993,29.988984900002833,30.013877699995646,,31.04335269999865,34.04351960000349,,
,,,,,,,,,,,,,,,34.06181129999459,35.19071779999649,,,,,,,,,,
1,0,17.73,0,3.13,0,v,3.13,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,35.215177099991706,36.04957819999254,36.06294859999616,37.06736259999161,37.080616699997336,,38.09680109999317,41.60911429999396,,
2,1,19.86,0,0.00,0,n,0.00,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,41.63115980000293,42.7261465999909,42.7323272999929,43.73495119999279,43.75035560000106,,44.76593789999606,48.27583319999394,,
3,0,17.94,0,9.03,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,48.30226729999413,48.93581229999836,48.9510120999912,49.95917879999615,49.96923529999913,,50.98682639999606,54.50054189999355,,
4,0,13.04,0,5.48,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,54.5217593999987,,58.539475700003095,59.54163910000352,59.55747210000118,,60.57482889998937,64.08125529999961,,
5,0,10.39,0,6.81,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,64.0929124999966,66.53825869999127,66.54372829999193,67.55602799999178,67.5614779000025,,68.57884449999256,72.07962439999392,,
