,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
1,,,,,,,,,,,,,,,,,0.00931029999628663,6.551809600001434,,,,,,,,,
2,,,,,,,,,,,,,,,,,6.5581020999961765,7.652725200001441,,,,,,,,,
3,1,,18.23,0,9.45,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,7.674409400002332,8.44383150000067,8.458810099997208,,9.480253800000355,,10.50946809999732,,,
4,2,,53.27,0,35.16,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,13.544135799995274,,17.563831599996774,,18.580304800001613,,19.59838419999869,,,
5,3,,8.27,0,1.15,0,n,1.15,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,23.133517700000084,25.020741200001794,25.034381099998427,,26.051575299999968,,27.085008399997605,,,
6,4,,45.88,0,40.41,,,,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,30.120134799995867,,34.13786429999891,,35.15649039999698,,36.1746456999972,,,
7,5,,21.56,0,11.96,0,v,11.96,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,39.708212400000775,41.804518500000995,41.807813300001726,,42.82623120000062,,43.86049990000174,,,
8,,,,,,,,,,,,,,,,,46.87824399999954,48.872003600001335,,,,,,,,,
9,1,0,16.00,0,4.00,0,v,4.00,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,48.89644199999748,49.8210620999962,49.832026700001734,,50.84698670000216,,,,,
10,2,1,10.68,0,10.68,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,55.38167460000113,57.46734889999789,57.48295099999814,,58.500584100002015,,,,,
11,3,0,19.28,0,8.36,1,v,19.28,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,63.0518974000006,64.55330970000068,64.57028129999526,,65.58614379999926,,,,,
12,4,0,14.72,0,4.64,0,n,4.64,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,70.13986049999949,73.98061579999921,73.99128159999964,,75.00874610000028,,,,,
13,5,0,10.12,0,6.94,,,,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,79.56076459999895,,83.57902409999951,,84.59699230000115,,,,,
